SID,Photo URL
1,sites/default/files/species_photo/rubrus-m1.png
2,sites/default/files/species_photo/intermedius-m1.png
3,
4,sites/default/files/species_photo/taurus-m1.png
5,sites/default/files/species_photo/spinipes-m1.png
6,sites/default/files/species_photo/fulvus-m1.png
7,sites/default/files/species_photo/pallipes-m1.png
8,sites/default/files/species_photo/nigriventris-m1.png
9,sites/default/files/species_photo/vacca-m1.png
10,sites/default/files/species_photo/africanus-m1.png
11,sites/default/files/species_photo/gazella-m1.png
12,sites/default/files/species_photo/sagittarius-m1.png
13,sites/default/files/species_photo/binodis-m1.png
14,sites/default/files/species_photo/obliquus-m1.png
15,sites/default/files/species_photo/bison-m1.png
16,sites/default/files/species_photo/alexis-m1.png
17,
18,
19,
20,sites/default/files/species_photo/bubalus-m1.png
21,
22,sites/default/files/species_photo/elphenor-m1.png
23,
24,
25,sites/default/files/species_photo/hispanus-m1.png